Game Turn, Mode, Player, Unit, Operation
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
Unit operation handler 8c676517, is disabled
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
Unit operation handler 8c676517, is disabled
002, Adding, 17, UNIT_WARRIOR (196610), UNITOPERATION_SWAP_UNITS (49)
002, Can't Start, 17, UNIT_WARRIOR (196610), UNITOPERATION_SWAP_UNITS (49)
002, Adding, 17, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 17, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 18, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 18, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 19, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 19, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 20, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 20, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 21, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 21, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 22, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 22, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 23, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 23, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 24, UNIT_WARRIOR (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 24, UNIT_WARRIOR (196610), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SPEARMAN (65536), UNITOPERATION_FORTIFY (12)
002, Adding, 63, UNIT_SPEARMAN (327684), UNITOPERATION_FORTIFY (12)
002, Adding, 63, UNIT_SPEARMAN (720906), UNITOPERATION_FORTIFY (12)
002, Adding, 63, UNIT_SPEARMAN (851980), UNITOPERATION_FORTIFY (12)
002, Adding, 63, UNIT_SPEARMAN (196610), UNITOPERATION_FORTIFY (12)
002, Adding, 63, UNIT_SPEARMAN (589832), UNITOPERATION_FORTIFY (12)
002, Adding, 63, UNIT_SPEARMAN (458758), UNITOPERATION_FORTIFY (12)
002, Adding, 63, UNIT_SCOUT (131073), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (262147), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (393221), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (524295), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_GALLEY (655369), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (786443), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (917517), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (262147), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (524295), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_GALLEY (655369), UNITOPERATION_MOVE_TO (19)
002, Adding, 63, UNIT_SCOUT (131073), UNITOPERATION_SKIP_TURN (36)
