Turn, PlayerIndex, Control, HeroesDiscovered, HeroesClaimed, HeroesRecalled, DiscoveryOrder
20, 0, Human, 0, 0, 0, Rebuilding Discovery Order
20, 1, AI, 0, 0, 0, Rebuilding Discovery Order
20, 2, AI, 0, 0, 0, Rebuilding Discovery Order
20, 3, AI, 0, 0, 0, Rebuilding Discovery Order
20, 4, AI, 0, 0, 0, Rebuilding Discovery Order
20, 5, AI, 0, 0, 0, Rebuilding Discovery Order
20, 6, AI, 0, 0, 0, Rebuilding Discovery Order
20, 7, AI, 0, 0, 0, Rebuilding Discovery Order
20, 8, AI, 0, 0, 0, Rebuilding Discovery Order
20, 9, AI, 0, 0, 0, Rebuilding Discovery Order
21, 0, Human, 0, 0, 0, Rebuilding Discovery Order
21, 1, AI, 0, 0, 0, Rebuilding Discovery Order
21, 2, AI, 0, 0, 0, Rebuilding Discovery Order
21, 3, AI, 0, 0, 0, Rebuilding Discovery Order
21, 4, AI, 0, 0, 0, Rebuilding Discovery Order
21, 5, AI, 0, 0, 0, Rebuilding Discovery Order
21, 6, AI, 0, 0, 0, Rebuilding Discovery Order
21, 7, AI, 0, 0, 0, Rebuilding Discovery Order
21, 8, AI, 0, 0, 0, Rebuilding Discovery Order
21, 9, AI, 0, 0, 0, Rebuilding Discovery Order
22, 0, Human, 0, 0, 0, Rebuilding Discovery Order
22, 1, AI, 0, 0, 0, Rebuilding Discovery Order
22, 2, AI, 0, 0, 0, Rebuilding Discovery Order
22, 3, AI, 0, 0, 0, Rebuilding Discovery Order
22, 4, AI, 0, 0, 0, Rebuilding Discovery Order
22, 5, AI, 0, 0, 0, Rebuilding Discovery Order
22, 6, AI, 0, 0, 0, Rebuilding Discovery Order
22, 7, AI, 0, 0, 0, Rebuilding Discovery Order
22, 8, AI, 0, 0, 0, Rebuilding Discovery Order
22, 9, AI, 0, 0, 0, Rebuilding Discovery Order
23, 0, Human, 0, 0, 0, Rebuilding Discovery Order
23, 1, AI, 0, 0, 0, Rebuilding Discovery Order
