Game Turn, Player, Boosted System, Progress
99, 0, CIVIC_RECORDED_HISTORY, Unstarted
99, 0, CIVIC_MERCANTILISM, Unstarted
99, 5, CIVIC_MILITARY_TRAINING, Unstarted
99, 10, TECH_STIRRUPS, Unstarted
99, 13, TECH_STIRRUPS, Unstarted
100, 10, TECH_BANKING, Unstarted
100, 13, TECH_BANKING, Unstarted
102, 1, TECH_MASS_PRODUCTION, Unstarted
102, 8, TECH_CARTOGRAPHY, Unstarted
102, 8, CIVIC_REFORMED_CHURCH, Unstarted
103, 3, CIVIC_THE_ENLIGHTENMENT, Unstarted
103, 12, TECH_STIRRUPS, Unstarted
104, 21, TECH_BANKING, Unstarted
105, 0, TECH_MASS_PRODUCTION, Unstarted
106, 8, TECH_ASTRONOMY, Unstarted
106, 8, TECH_RIFLING, Unstarted
106, 11, TECH_BANKING, Unstarted
107, 4, TECH_ASTRONOMY, Unstarted
107, 9, CIVIC_NAVAL_TRADITION, Unstarted
107, 20, TECH_METAL_CASTING, Unstarted
108, 4, CIVIC_EXPLORATION, Unstarted
108, 6, TECH_ASTRONOMY, Unstarted
110, 17, CIVIC_NATIONALISM, Unstarted
110, 23, CIVIC_NATIONALISM, Unstarted
110, 3, TECH_BANKING, Unstarted
111, 2, CIVIC_NAVAL_TRADITION, Unstarted
111, 6, CIVIC_THE_ENLIGHTENMENT, Unstarted
111, 8, TECH_PRINTING, Unstarted
112, 0, TECH_CARTOGRAPHY, Unstarted
112, 20, TECH_SIEGE_TACTICS, Unstarted
113, 4, TECH_SCIENTIFIC_THEORY, Unstarted
114, 0, TECH_ENGINEERING, Unstarted
114, 7, TECH_MASS_PRODUCTION, Unstarted
114, 8, TECH_SIEGE_TACTICS, Unstarted
114, 9, TECH_PRINTING, Unstarted
114, 9, TECH_ASTRONOMY, Unstarted
114, 12, TECH_MASS_PRODUCTION, Unstarted
114, 22, TECH_SIEGE_TACTICS, Unstarted
115, 0, CIVIC_THE_ENLIGHTENMENT, Unstarted
115, 3, TECH_MILITARY_ENGINEERING, Unstarted
117, 9, CIVIC_THE_ENLIGHTENMENT, Unstarted
117, 9, CIVIC_EXPLORATION, Unstarted
119, 4, CIVIC_PROFESSIONAL_SPORTS, Unstarted
119, 4, TECH_SQUARE_RIGGING, Unstarted
119, 5, CIVIC_EXPLORATION, Unstarted
120, 6, TECH_BANKING, In Progress
