Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
58, 2, 4, 당신의 병력이 그들의 국경에 위치했음, Update,    0.0
58, 4, 5, 당신에 대한 첫인상, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
58, 4,  5, 당신에 대한 첫인상, Deactivate
58, 4, 5, 같은 비밀 결사의 구성원, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
58, 5, 4, 당신에 대한 첫인상, Activate,    3.0,    3.0,    1.0, 0, 10,    1.0
58, 5,  4, 당신에 대한 첫인상, Deactivate
58, 5, 4, 같은 비밀 결사의 구성원, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
58, 5, 4, 당신에 대한 다른 플레이어의 적대감, Activate,  -15.0,  -15.0,    1.0, 0, 0,    1.0
58, 8, 6, 찬드라굽타는 당신의 제국이 자신의 제국에서 멀리 있어 기뻐함, Update,    6.0
59, 0, 3, 양국 간의 교역로, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
59, 3, 0, 양국 간의 교역로, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
59, 6, 1, 경쟁 비밀 결사의 구성원, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
59, 8, 1, 찬드라굽타는 당신의 제국이 자신의 제국에서 멀리 있어 기뻐함, Update,    6.0
60, 5, 2, 당신에 대한 첫인상, Update,   -2.0
60, 1, 6, 상대방에게 대표단을 파견했음, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
60, 9, 6, 상대방에게 대표단을 파견했음, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
61, 1, 8, 당신에 대한 적대감, Activate,   -8.0,   -8.0,    1.0, 0, 2,   -1.0
61, 2, 5, 당신에 대한 첫인상, Update,    2.0
61, 4, 2, 생산성이 낮은 문명을 싫어함, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
61, 4, 6, 영토가 넓은 제국 존중, Activate,  -13.0,  -13.0,    1.0, 0, 0,    1.0
61, 4, 6, 당신에 대한 첫인상, Update,    1.0
61, 6, 8, 당신에 대한 다른 플레이어의 적대감, Activate,   -4.0,   -4.0,    1.0, 0, 0,    1.0
