Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
59, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JOHN_THE_BAPTIST, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
60, Granted to Player, GREAT_PERSON_INDIVIDUAL_JOHN_THE_BAPTIST, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, 0, 60
60, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_CONFUCIUS, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
60, Great Person Activated, GREAT_PERSON_INDIVIDUAL_SIDDHARTHA_GAUTAMA, GREAT_PERSON_CLASS_PROPHET, Era TBD, 3
61, Great Person Activated, GREAT_PERSON_INDIVIDUAL_JOHN_THE_BAPTIST, GREAT_PERSON_CLASS_PROPHET, Era TBD, 0
61, Granted to Player, GREAT_PERSON_INDIVIDUAL_CONFUCIUS, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, 8, 61
61, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_SIMON_PETER, GREAT_PERSON_CLASS_PROPHET, ERA_CLASSICAL, 60, -1, -1
62, Great Person Activated, GREAT_PERSON_INDIVIDUAL_CONFUCIUS, GREAT_PERSON_CLASS_PROPHET, Era TBD, 8
69, Granted to Player, GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 155, 6, 69
69, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_HILDEGARD_OF_BINGEN, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 155, -1, -1
71, Granted to Player, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 60, 4, 71
71, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN, GREAT_PERSON_CLASS_MERCHANT, ERA_CLASSICAL, 60, -1, -1
73, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 4
74, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 4
74, Granted to Player, GREAT_PERSON_INDIVIDUAL_OVID, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 60, 5, 74
74, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_BHASA, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 60, -1, -1
75, Granted to Player, GREAT_PERSON_INDIVIDUAL_BHASA, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 60, 2, 75
75, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_QU_YUAN, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 60, -1, -1
75, Great Person Activated, GREAT_PERSON_INDIVIDUAL_OVID, GREAT_PERSON_CLASS_WRITER, Era TBD, 5
76, Great Person Activated, GREAT_PERSON_INDIVIDUAL_BHASA, GREAT_PERSON_CLASS_WRITER, Era TBD, 2
76, Great Person Activated, GREAT_PERSON_INDIVIDUAL_MARCUS_LICINIUS_CRASSUS, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 4
76, Great Person Activated, GREAT_PERSON_INDIVIDUAL_OVID, GREAT_PERSON_CLASS_WRITER, Era TBD, 5
77, Granted to Player, GREAT_PERSON_INDIVIDUAL_HANNIBAL_BARCA, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 60, 3, 77
77, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_BOUDICA, GREAT_PERSON_CLASS_GENERAL, ERA_CLASSICAL, 60, -1, -1
78, Great Person Activated, GREAT_PERSON_INDIVIDUAL_BHASA, GREAT_PERSON_CLASS_WRITER, Era TBD, 2
79, Granted to Player, GREAT_PERSON_INDIVIDUAL_HILDEGARD_OF_BINGEN, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 155, 5, 79
79, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 155, -1, -1
80, Granted to Player, GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 155, 4, 80
80, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_IBN_KHALDUN, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 610, -1, -1
81, Great Person Activated, GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 4
