Turn, Event, Origin City, Destination City, Attached Resource, Origin Yields
122, Route Started, LOC_CITY_NAME_LISBON_STK, LOC_CITY_NAME_TEAYO,Resource -1 (x0),Origin Yields,0.00,0.00,27.00,1.50,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
122, Route Started, LOC_CITY_NAME_BOLOGNA, LOC_CITY_NAME_DUMBARTON,Resource -1 (x0),Origin Yields,0.00,0.00,4.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
126, Route Ended (Expired), LOC_CITY_NAME_LISBON_STK, LOC_CITY_NAME_GENEVA,Resource -1 (x0),Origin Yields,0.00,0.00,28.50,1.50,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
127, Route Ended (War Declared), LOC_CITY_NAME_KUMASI, LOC_CITY_NAME_PUTEOLI,Resource -1 (x0),Origin Yields,0.00,0.00,6.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
127, Route Started, LOC_CITY_NAME_LISBON_STK, LOC_CITY_NAME_GENEVA,Resource -1 (x0),Origin Yields,0.00,0.00,28.50,1.50,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
127, Route Started, LOC_CITY_NAME_KUMASI, LOC_CITY_NAME_DURMUTI,Resource -1 (x0),Origin Yields,0.00,0.00,6.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,4.00,0.00,0.00,0.00
128, Route Ended (Expired), LOC_CITY_NAME_LISBON_STK, LOC_CITY_NAME_LISBON,Resource -1 (x0),Origin Yields,0.00,0.00,28.50,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
129, Route Started, LOC_CITY_NAME_LISBON_STK, LOC_CITY_NAME_LISBON,Resource -1 (x0),Origin Yields,0.00,0.00,28.50,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
130, Route Started, LOC_CITY_NAME_BRUSSELS, LOC_CITY_NAME_MELBOURNE,Resource -1 (x0),Origin Yields,0.00,0.00,3.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
132, Route Ended (Expired), LOC_CITY_NAME_SAMARKAND, LOC_CITY_NAME_MBAMBA,Resource -1 (x0),Origin Yields,0.00,0.00,4.00,1.00,1.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
133, Route Started, LOC_CITY_NAME_SAMARKAND, LOC_CITY_NAME_MBAMBA,Resource -1 (x0),Origin Yields,0.00,0.00,4.00,1.00,1.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
135, Route Started, LOC_CITY_NAME_METHONE, LOC_CITY_NAME_DUNDEE,Resource -1 (x0),Origin Yields,0.00,0.00,10.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
136, Route Ended (Expired), LOC_CITY_NAME_ROXBURGH, LOC_CITY_NAME_HATTUSA,Resource -1 (x0),Origin Yields,0.00,0.00,13.00,0.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
137, Route Started, LOC_CITY_NAME_ROXBURGH, LOC_CITY_NAME_PYDNA,Resource -1 (x0),Origin Yields,0.00,0.00,13.00,1.00,0.00,0.00,Destination Yields,0.00,0.00,0.00,0.00,0.00,0.00
