Player,FromPlayer,Delta,New Total Weariness,Reason
5, 6, -50, 150, At War Decay
5, 6, 32, 182, Attacking
6, 5, 32, 312, Getting Attacked
6, 5, -50, 262, At War Decay
6, 5, 32, 294, Attacking
5, 6, 32, 214, Getting Attacked
4, 2, -50, 1007, At War Decay
5, 6, -50, 164, At War Decay
5, 6, 32, 196, Attacking
6, 5, 32, 326, Getting Attacked
6, 5, -50, 276, At War Decay
4, 2, -50, 957, At War Decay
4, 5, 32, 32, Attacking
5, 4, 32, 32, Getting Attacked
4, 5, 32, 64, Attacking
5, 4, 80, 112, Getting Attacked
5, 4, -50, 62, At War Decay
5, 6, -50, 146, At War Decay
5, 6, 32, 178, Attacking
6, 5, 32, 308, Getting Attacked
6, 5, -50, 258, At War Decay
4, 2, -50, 907, At War Decay
4, 5, -50, 14, At War Decay
5, 4, -50, 12, At War Decay
5, 6, -50, 128, At War Decay
5, 6, 32, 160, Attacking
6, 5, 32, 290, Getting Attacked
6, 5, -50, 240, At War Decay
4, 2, -50, 857, At War Decay
4, 5, -50, 0, At War Decay
20, 21, -2000, 0, We Made Peace
21, 20, -2000, 0, They Made Peace
5, 4, -50, 0, At War Decay
5, 6, -50, 110, At War Decay
5, 6, 32, 142, Attacking
6, 5, 32, 272, Getting Attacked
6, 5, -50, 222, At War Decay
6, 5, 32, 254, Attacking
5, 6, 32, 174, Getting Attacked
4, 2, -50, 807, At War Decay
5, 6, -50, 124, At War Decay
5, 6, 32, 156, Attacking
6, 5, 32, 286, Getting Attacked
5, 6, 32, 188, Attacking
6, 5, 32, 318, Getting Attacked
6, 5, -50, 268, At War Decay
4, 2, -50, 757, At War Decay
5, 6, -50, 138, At War Decay
5, 6, 32, 170, Attacking
6, 5, 32, 300, Getting Attacked
5, 6, 32, 202, Attacking
6, 5, 80, 380, Getting Attacked
6, 5, -50, 330, At War Decay
4, 2, -50, 707, At War Decay
5, 6, -50, 152, At War Decay
5, 6, 32, 184, Attacking
6, 5, 32, 362, Getting Attacked
6, 5, -50, 312, At War Decay
2, 4, 86, 86, Attacking
4, 2, -50, 657, At War Decay
4, 2, 86, 743, Attacking
5, 6, -50, 134, At War Decay
5, 6, 32, 166, Attacking
6, 5, 32, 344, Getting Attacked
5, 6, 32, 198, Attacking
6, 5, 32, 376, Getting Attacked
5, 6, 32, 230, Attacking
6, 5, 32, 408, Getting Attacked
6, 5, -50, 358, At War Decay
