Game Turn, Player, Action, Belief, City
55, 24, Adopt Religion, N/A, LOC_CITY_NAME_HUNZA
55, 1, Add belief to LOC_RELIGION_JUDAISM, BELIEF_WAT, N/A
55, 0, Adopt Religion, N/A, LOC_CITY_NAME_LISBON_STK
55, 0, Adopt Religion, N/A, LOC_CITY_NAME_COIMBRA
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_ADUATUCA
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_RATUMACOS
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_BIBRAX
55, 1, Adopt Religion, N/A, LOC_CITY_NAME_AVARICUM
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBAMBA
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_KWANGO
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_MBATA
55, 2, Adopt Religion, N/A, LOC_CITY_NAME_KINCHASSA
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_TEAYO
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_MALINALCO
55, 3, Adopt Religion, N/A, LOC_CITY_NAME_XOCHICALCO
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_ROME
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_OSTIA
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_RAVENNA
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_MEDIOLANUM
55, 4, Adopt Religion, N/A, LOC_CITY_NAME_CUMAE
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON_STK
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_ESHNUNNA
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_DUR_KURIGALZU
55, 5, Adopt Religion, N/A, LOC_CITY_NAME_DURMUTI
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_STIRLING
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_ROXBURGH
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_CULLEN
55, 6, Adopt Religion, N/A, LOC_CITY_NAME_DUNDEE
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_CANBERRA
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_PERTH
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_ADELAIDE
55, 7, Adopt Religion, N/A, LOC_CITY_NAME_MELBOURNE
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_PATNA
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_DELHI
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_MADURAI
55, 8, Adopt Religion, N/A, LOC_CITY_NAME_MUMBAI
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_PELLA
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_DION
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_ALEXANDRIA_TROAS
55, 9, Adopt Religion, N/A, LOC_CITY_NAME_PYDNA
55, 10, Adopt Religion, N/A, LOC_CITY_NAME_SAMARKAND
55, 11, Adopt Religion, N/A, LOC_CITY_NAME_AUCKLAND
55, 12, Adopt Religion, N/A, LOC_CITY_NAME_MUSCAT
55, 13, Adopt Religion, N/A, LOC_CITY_NAME_GENEVA
55, 14, Adopt Religion, N/A, LOC_CITY_NAME_JOHANNESBURG
55, 15, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
55, 16, Adopt Religion, N/A, LOC_CITY_NAME_SINGAPORE
55, 17, Adopt Religion, N/A, LOC_CITY_NAME_BOLOGNA
55, 18, Adopt Religion, N/A, LOC_CITY_NAME_KUMASI
55, 19, Adopt Religion, N/A, LOC_CITY_NAME_BRUSSELS
55, 20, Adopt Religion, N/A, LOC_CITY_NAME_BANDAR_BRUNEI
55, 21, Adopt Religion, N/A, LOC_CITY_NAME_MOHENJO_DARO
55, 22, Adopt Religion, N/A, LOC_CITY_NAME_ANTIOCH
55, 23, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
55, 24, Adopt Religion, N/A, LOC_CITY_NAME_HUNZA
60, 3, Found Religion, RELIGION_SIKHISM, N/A
60, 3, Add belief to LOC_RELIGION_SIKHISM, BELIEF_WARRIOR_MONKS, N/A
60, 0, Adopt Religion, N/A, LOC_CITY_NAME_LISBON_STK
60, 0, Adopt Religion, N/A, LOC_CITY_NAME_COIMBRA
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_ADUATUCA
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_RATUMACOS
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_BIBRAX
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_AVARICUM
60, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
60, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBAMBA
60, 2, Adopt Religion, N/A, LOC_CITY_NAME_KWANGO
60, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_MBATA
60, 2, Adopt Religion, N/A, LOC_CITY_NAME_KINCHASSA
60, 3, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
60, 3, Adopt Religion, N/A, LOC_CITY_NAME_TEAYO
60, 3, Adopt Religion, N/A, LOC_CITY_NAME_MALINALCO
60, 3, Adopt Religion, N/A, LOC_CITY_NAME_XOCHICALCO
60, 4, Adopt Religion, N/A, LOC_CITY_NAME_ROME
60, 4, Adopt Religion, N/A, LOC_CITY_NAME_OSTIA
60, 4, Adopt Religion, N/A, LOC_CITY_NAME_RAVENNA
60, 4, Adopt Religion, N/A, LOC_CITY_NAME_MEDIOLANUM
60, 4, Adopt Religion, N/A, LOC_CITY_NAME_CUMAE
60, 5, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON_STK
60, 5, Adopt Religion, N/A, LOC_CITY_NAME_ESHNUNNA
60, 5, Adopt Religion, N/A, LOC_CITY_NAME_DUR_KURIGALZU
60, 5, Adopt Religion, N/A, LOC_CITY_NAME_DURMUTI
60, 5, Adopt Religion, N/A, LOC_CITY_NAME_TUTTUL
60, 6, Adopt Religion, N/A, LOC_CITY_NAME_STIRLING
60, 6, Adopt Religion, N/A, LOC_CITY_NAME_ROXBURGH
60, 6, Adopt Religion, N/A, LOC_CITY_NAME_CULLEN
60, 6, Adopt Religion, N/A, LOC_CITY_NAME_DUNDEE
60, 7, Adopt Religion, N/A, LOC_CITY_NAME_CANBERRA
60, 7, Adopt Religion, N/A, LOC_CITY_NAME_PERTH
60, 7, Adopt Religion, N/A, LOC_CITY_NAME_ADELAIDE
60, 7, Adopt Religion, N/A, LOC_CITY_NAME_MELBOURNE
60, 8, Adopt Religion, N/A, LOC_CITY_NAME_PATNA
60, 8, Adopt Religion, N/A, LOC_CITY_NAME_DELHI
60, 8, Adopt Religion, N/A, LOC_CITY_NAME_MADURAI
60, 8, Adopt Religion, N/A, LOC_CITY_NAME_MUMBAI
60, 9, Adopt Religion, N/A, LOC_CITY_NAME_PELLA
60, 9, Adopt Religion, N/A, LOC_CITY_NAME_DION
60, 9, Adopt Religion, N/A, LOC_CITY_NAME_ALEXANDRIA_TROAS
60, 9, Adopt Religion, N/A, LOC_CITY_NAME_PYDNA
60, 10, Adopt Religion, N/A, LOC_CITY_NAME_SAMARKAND
60, 11, Adopt Religion, N/A, LOC_CITY_NAME_AUCKLAND
60, 12, Adopt Religion, N/A, LOC_CITY_NAME_MUSCAT
60, 13, Adopt Religion, N/A, LOC_CITY_NAME_GENEVA
60, 14, Adopt Religion, N/A, LOC_CITY_NAME_JOHANNESBURG
60, 15, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
60, 16, Adopt Religion, N/A, LOC_CITY_NAME_SINGAPORE
60, 17, Adopt Religion, N/A, LOC_CITY_NAME_BOLOGNA
60, 18, Adopt Religion, N/A, LOC_CITY_NAME_KUMASI
60, 19, Adopt Religion, N/A, LOC_CITY_NAME_BRUSSELS
60, 20, Adopt Religion, N/A, LOC_CITY_NAME_BANDAR_BRUNEI
60, 21, Adopt Religion, N/A, LOC_CITY_NAME_MOHENJO_DARO
60, 22, Adopt Religion, N/A, LOC_CITY_NAME_ANTIOCH
60, 23, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
60, 24, Adopt Religion, N/A, LOC_CITY_NAME_HUNZA
60, 3, Add belief to LOC_RELIGION_SIKHISM, BELIEF_CATHEDRAL, N/A
60, 0, Adopt Religion, N/A, LOC_CITY_NAME_LISBON_STK
60, 0, Adopt Religion, N/A, LOC_CITY_NAME_COIMBRA
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_ADUATUCA
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_RATUMACOS
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_BIBRAX
60, 1, Adopt Religion, N/A, LOC_CITY_NAME_AVARICUM
60, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
60, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBAMBA
60, 2, Adopt Religion, N/A, LOC_CITY_NAME_KWANGO
60, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_MBATA
60, 2, Adopt Religion, N/A, LOC_CITY_NAME_KINCHASSA
60, 3, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
60, 3, Adopt Religion, N/A, LOC_CITY_NAME_TEAYO
60, 3, Adopt Religion, N/A, LOC_CITY_NAME_MALINALCO
60, 3, Adopt Religion, N/A, LOC_CITY_NAME_XOCHICALCO
60, 4, Adopt Religion, N/A, LOC_CITY_NAME_ROME
60, 4, Adopt Religion, N/A, LOC_CITY_NAME_OSTIA
60, 4, Adopt Religion, N/A, LOC_CITY_NAME_RAVENNA
60, 4, Adopt Religion, N/A, LOC_CITY_NAME_MEDIOLANUM
60, 4, Adopt Religion, N/A, LOC_CITY_NAME_CUMAE
60, 5, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON_STK
60, 5, Adopt Religion, N/A, LOC_CITY_NAME_ESHNUNNA
60, 5, Adopt Religion, N/A, LOC_CITY_NAME_DUR_KURIGALZU
60, 5, Adopt Religion, N/A, LOC_CITY_NAME_DURMUTI
60, 5, Adopt Religion, N/A, LOC_CITY_NAME_TUTTUL
60, 6, Adopt Religion, N/A, LOC_CITY_NAME_STIRLING
60, 6, Adopt Religion, N/A, LOC_CITY_NAME_ROXBURGH
60, 6, Adopt Religion, N/A, LOC_CITY_NAME_CULLEN
60, 6, Adopt Religion, N/A, LOC_CITY_NAME_DUNDEE
60, 7, Adopt Religion, N/A, LOC_CITY_NAME_CANBERRA
60, 7, Adopt Religion, N/A, LOC_CITY_NAME_PERTH
60, 7, Adopt Religion, N/A, LOC_CITY_NAME_ADELAIDE
60, 7, Adopt Religion, N/A, LOC_CITY_NAME_MELBOURNE
60, 8, Adopt Religion, N/A, LOC_CITY_NAME_PATNA
60, 8, Adopt Religion, N/A, LOC_CITY_NAME_DELHI
60, 8, Adopt Religion, N/A, LOC_CITY_NAME_MADURAI
60, 8, Adopt Religion, N/A, LOC_CITY_NAME_MUMBAI
60, 9, Adopt Religion, N/A, LOC_CITY_NAME_PELLA
60, 9, Adopt Religion, N/A, LOC_CITY_NAME_DION
60, 9, Adopt Religion, N/A, LOC_CITY_NAME_ALEXANDRIA_TROAS
60, 9, Adopt Religion, N/A, LOC_CITY_NAME_PYDNA
60, 10, Adopt Religion, N/A, LOC_CITY_NAME_SAMARKAND
60, 11, Adopt Religion, N/A, LOC_CITY_NAME_AUCKLAND
60, 12, Adopt Religion, N/A, LOC_CITY_NAME_MUSCAT
60, 13, Adopt Religion, N/A, LOC_CITY_NAME_GENEVA
60, 14, Adopt Religion, N/A, LOC_CITY_NAME_JOHANNESBURG
60, 15, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
60, 16, Adopt Religion, N/A, LOC_CITY_NAME_SINGAPORE
60, 17, Adopt Religion, N/A, LOC_CITY_NAME_BOLOGNA
60, 18, Adopt Religion, N/A, LOC_CITY_NAME_KUMASI
60, 19, Adopt Religion, N/A, LOC_CITY_NAME_BRUSSELS
60, 20, Adopt Religion, N/A, LOC_CITY_NAME_BANDAR_BRUNEI
60, 21, Adopt Religion, N/A, LOC_CITY_NAME_MOHENJO_DARO
60, 22, Adopt Religion, N/A, LOC_CITY_NAME_ANTIOCH
60, 23, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
60, 24, Adopt Religion, N/A, LOC_CITY_NAME_HUNZA
60, 6, Found Pantheon, BELIEF_INITIATION_RITES, N/A
60, 6, Adopt Pantheon, N/A, LOC_CITY_NAME_STIRLING
60, 6, Adopt Pantheon, N/A, LOC_CITY_NAME_ROXBURGH
60, 6, Adopt Pantheon, N/A, LOC_CITY_NAME_CULLEN
60, 6, Adopt Pantheon, N/A, LOC_CITY_NAME_DUNDEE
61, 0, Found Religion, RELIGION_CUSTOM_9, N/A
61, 0, Add belief to 자본주의, BELIEF_RELIGIOUS_COMMUNITY, N/A
61, 0, Adopt Religion, N/A, LOC_CITY_NAME_LISBON_STK
61, 0, Adopt Religion, N/A, LOC_CITY_NAME_COIMBRA
61, 1, Adopt Religion, N/A, LOC_CITY_NAME_ADUATUCA
61, 1, Adopt Religion, N/A, LOC_CITY_NAME_RATUMACOS
61, 1, Adopt Religion, N/A, LOC_CITY_NAME_BIBRAX
61, 1, Adopt Religion, N/A, LOC_CITY_NAME_AVARICUM
61, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_KONGO
61, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBAMBA
61, 2, Adopt Religion, N/A, LOC_CITY_NAME_KWANGO
61, 2, Adopt Religion, N/A, LOC_CITY_NAME_MBANZA_MBATA
61, 2, Adopt Religion, N/A, LOC_CITY_NAME_KINCHASSA
61, 3, Adopt Religion, N/A, LOC_CITY_NAME_TENOCHTITLAN
61, 3, Adopt Religion, N/A, LOC_CITY_NAME_TEAYO
61, 3, Adopt Religion, N/A, LOC_CITY_NAME_MALINALCO
61, 3, Adopt Religion, N/A, LOC_CITY_NAME_XOCHICALCO
