Game Turn, From, To, Initiator, Type, SubType, Message
72, 5, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
72, 5, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
72, 6, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
72, 6, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
72, 6, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
73, 1, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
73, 6, 2, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
73, 6, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
73, 6, 2, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
73, 6, 4, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
73, 6, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
73, 6, 4, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
73, 2, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
73, 4, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
73, 4, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
73, 4, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
73, 8, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
73, 8, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
73, 8, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
74, 4, 5, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
74, 8, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
74, 8, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
74, 8, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
74, 8, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
74, 8, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
74, 8, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
76, 8, 6, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
76, 8, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
76, 8, 6, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
76, 9, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
76, 9, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
76, 9, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
77, 8, 4, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
78, 1, 5, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
78, 1, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
78, 1, 5, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
78, 5, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
78, 5, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
78, 5, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
78, 6, 8, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
79, 4, 8, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
80, 5, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
80, 5, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
80, 5, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
80, 8, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
80, 8, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
80, 8, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Requesting session between two AIs!
80, 8, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
80, 8, 1, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
80, 8, 1, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
80, 9, 6, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
80, 9, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
80, 9, 6, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
81, 1, 6, ?, SET_DELEGATION, ffffffff, ?, Processing Action From AI to AI
81, 4, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
81, 4, 6, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
81, 4, 6, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
81, 5, 0, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
81, 5, 0, 5, DIPLOMATIC_KUDO, NONE, INITIAL, Adding to pending
81, 5, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
81, 5, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
81, 5, 2, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
81, 5, 2, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
81, 5, 2, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
81, 5, 2, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
81, 5, 0, 5, DIPLOMATIC_KUDO, NONE, INITIAL, Processing Statement
81, 5, 0, 5, DIPLOMATIC_KUDO, NONE, INITIAL, Processing Immediately
81, 6, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
81, 6, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
81, 6, 4, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
81, 5, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
81, 5, 7, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
81, 5, 7, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
81, 7, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
81, 7, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
81, 7, 5, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
82, 8, 6, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, 00000000, Requesting Session (B)
82, 8, 6, ?, MAKE_PROMISE, 9c55a0d8, ?, Processing Action From AI to AI
82, 8, 6, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
82, 6, 5, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
82, 6, 5, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
82, 6, 5, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
82, 6, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
82, 6, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
82, 6, 8, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Requesting session between two AIs!
83, 4, 8, -1, DIPLOMATIC_WARNING, NONE, 00000000, Requesting Session (B)
83, 4, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
83, 4, 8, -1, DIPLOMATIC_WARNING, NONE, INITIAL, Requesting session between two AIs!
83, 8, 4, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
83, 8, 4, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
