[2022-04-03 13:04:40]	,    UIManager_ProcessInput, 56.05 ms
[2022-04-03 13:04:40]	,----- FRAME: 3748 time: 5.23ms Moving avg: 5.14ms 5 frames since last 
[2022-04-03 13:04:41]	,                UIManager_ProcessInput, 104.01 ms
[2022-04-03 13:04:41]	,            UIManager_Update, 104.11 ms
[2022-04-03 13:04:41]	,        UIUpdateJob_Update, 104.13 ms
[2022-04-03 13:04:41]	,    Civ6App_UpdateFrame, 110.67 ms
[2022-04-03 13:04:41]	,----- FRAME: 3775 time: 110.82ms Moving avg: 5.82ms 28 frames since last 
[2022-04-03 13:04:41]	,    UIManager_ProcessInput, 51.30 ms
[2022-04-03 13:04:41]	,----- FRAME: 3780 time: 6.80ms Moving avg: 5.98ms 6 frames since last 
[2022-04-03 13:04:41]	,    UIManager_ProcessInput, 39.52 ms
[2022-04-03 13:04:41]	,----- FRAME: 3781 time: 4.65ms Moving avg: 6.02ms 2 frames since last 
[2022-04-03 13:04:41]	,    UIManager_ProcessInput, 52.33 ms
[2022-04-03 13:04:41]	,----- FRAME: 3793 time: 7.43ms Moving avg: 5.93ms 13 frames since last 
[2022-04-03 13:04:41]	,    UIManager_ProcessInput, 55.17 ms
[2022-04-03 13:04:41]	,----- FRAME: 3801 time: 6.87ms Moving avg: 6.22ms 9 frames since last 
[2022-04-03 13:04:42]	,    UIManager_ProcessInput, 41.61 ms
[2022-04-03 13:04:42]	,----- FRAME: 3802 time: 7.86ms Moving avg: 6.26ms 2 frames since last 
[2022-04-03 13:04:42]	,    UIManager_ProcessInput, 49.45 ms
[2022-04-03 13:04:42]	,----- FRAME: 3803 time: 7.54ms Moving avg: 6.27ms 2 frames since last 
[2022-04-03 13:04:42]	,    UIManager_ProcessInput, 33.59 ms
[2022-04-03 13:04:42]	,----- FRAME: 3804 time: 5.96ms Moving avg: 6.24ms 2 frames since last 
[2022-04-03 13:04:42]	,    UIManager_ProcessInput, 49.62 ms
[2022-04-03 13:04:42]	,----- FRAME: 3805 time: 7.30ms Moving avg: 6.20ms 2 frames since last 
[2022-04-03 13:04:42]	,    UIManager_ProcessInput, 40.71 ms
[2022-04-03 13:04:42]	,----- FRAME: 3806 time: 6.67ms Moving avg: 6.11ms 2 frames since last 
[2022-04-03 13:04:42]	,    UIManager_ProcessInput, 41.63 ms
[2022-04-03 13:04:42]	,----- FRAME: 3807 time: 8.04ms Moving avg: 6.01ms 2 frames since last 
[2022-04-03 13:04:42]	,    UIManager_ProcessInput, 40.37 ms
[2022-04-03 13:04:42]	,----- FRAME: 3808 time: 6.62ms Moving avg: 6.02ms 2 frames since last 
[2022-04-03 13:04:42]	,    UIManager_ProcessInput, 54.33 ms
[2022-04-03 13:04:42]	,----- FRAME: 3809 time: 7.20ms Moving avg: 6.09ms 2 frames since last 
[2022-04-03 13:04:42]	,    UIManager_ProcessInput, 19.38 ms
[2022-04-03 13:04:42]	,----- FRAME: 3810 time: 6.11ms Moving avg: 6.15ms 2 frames since last 
[2022-04-03 13:04:43]	,    UIManager_ProcessInput, 137.21 ms
[2022-04-03 13:04:43]	,----- FRAME: 3840 time: 8.29ms Moving avg: 5.19ms 31 frames since last 
[2022-04-03 13:04:43]	,    UIManager_ProcessInput, 56.98 ms
[2022-04-03 13:04:43]	,----- FRAME: 3841 time: 5.07ms Moving avg: 5.24ms 2 frames since last 
[2022-04-03 13:04:44]	,    UIManager_ProcessInput, 34.43 ms
[2022-04-03 13:04:44]	,----- FRAME: 3916 time: 5.22ms Moving avg: 14.93ms 76 frames since last 
[2022-04-03 13:04:45]	,    UIManager_ProcessInput, 42.69 ms
[2022-04-03 13:04:45]	,----- FRAME: 3965 time: 5.85ms Moving avg: 12.39ms 50 frames since last 
[2022-04-03 13:04:45]	,    UIManager_ProcessInput, 48.63 ms
[2022-04-03 13:04:45]	,----- FRAME: 3974 time: 5.59ms Moving avg: 10.40ms 10 frames since last 
[2022-04-03 13:04:45]	,UIManager_ProcessInput, 57.66 ms
[2022-04-03 13:04:45]	,----- FRAME: 3999 time: 7.09ms Moving avg: 9.23ms 26 frames since last 
[2022-04-03 13:04:45]	,                UIManager_ProcessInput, 50.03 ms
[2022-04-03 13:04:45]	,            UIManager_Update, 50.14 ms
[2022-04-03 13:04:45]	,        UIUpdateJob_Update, 50.16 ms
[2022-04-03 13:04:45]	,----- FRAME: 4007 time: 56.48ms Moving avg: 8.28ms 9 frames since last 
[2022-04-03 13:04:47]	,    UIManager_ProcessInput, 28.26 ms
[2022-04-03 13:04:47]	,            SerialEvent::QuerySaveGames, 7.39 ms
[2022-04-03 13:04:47]	,----- FRAME: 4107 time: 17.92ms Moving avg: 15.90ms 101 frames since last 
[2022-04-03 13:04:49]	,UIManager_ProcessInput, 119.25 ms
[2022-04-03 13:04:49]	,----- FRAME: 4207 time: 12.37ms Moving avg: 16.35ms 101 frames since last 
[2022-04-03 13:04:52]	,            UIManager_ProcessInput, 28.04 ms
[2022-04-03 13:04:52]	,----- FRAME: 4406 time: 6.37ms Moving avg: 16.29ms 200 frames since last 
[2022-04-03 13:04:53]	,        UIManager_ProcessInput, 27.17 ms
[2022-04-03 13:04:53]	,----- FRAME: 4433 time: 1.85ms Moving avg: 13.44ms 28 frames since last 
[2022-04-03 13:04:53]	,    UIManager_ProcessInput, 28.41 ms
[2022-04-03 13:04:53]	,----- FRAME: 4459 time: 1.93ms Moving avg: 10.65ms 27 frames since last 
[2022-04-03 13:04:57]	,UIManager_ProcessInput, 28.74 ms
[2022-04-03 13:04:57]	,----- FRAME: 4698 time: 12.09ms Moving avg: 16.52ms 240 frames since last 
[2022-04-03 13:04:57]	,UIManager_ProcessInput, 29.68 ms
[2022-04-03 13:04:57]	,----- FRAME: 4724 time: 3.29ms Moving avg: 13.74ms 27 frames since last 
[2022-04-03 13:04:58]	,    UIManager_ProcessInput, 40.25 ms
[2022-04-03 13:04:58]	,----- FRAME: 4764 time: 2.76ms Moving avg: 11.19ms 41 frames since last 
[2022-04-03 13:04:59]	,    UIManager_ProcessInput, 26.49 ms
[2022-04-03 13:04:59]	,----- FRAME: 4809 time: 3.36ms Moving avg: 11.69ms 46 frames since last 
[2022-04-03 13:04:59]	,        UIManager_ProcessInput, 28.28 ms
[2022-04-03 13:04:59]	,----- FRAME: 4835 time: 5.68ms Moving avg: 11.26ms 27 frames since last 
[2022-04-03 13:05:00]	,    UIManager_ProcessInput, 53.70 ms
[2022-04-03 13:05:00]	,----- FRAME: 4858 time: 4.25ms Moving avg: 11.25ms 24 frames since last 
[2022-04-03 13:05:00]	,    UIManager_ProcessInput, 26.33 ms
[2022-04-03 13:05:00]	,----- FRAME: 4899 time: 2.88ms Moving avg: 7.64ms 42 frames since last 
[2022-04-03 13:05:06]	,Graphics_SubmissionIncFrame, 55.67 ms
[2022-04-03 13:05:06]	,----- FRAME: 5206 time: 58.50ms Moving avg: 14.91ms 308 frames since last 
[2022-04-03 13:05:49]	,UIManager_ProcessInput, 34.76 ms
[2022-04-03 13:05:49]	,    SerialEvent::QuerySaveGames, 5.19 ms
[2022-04-03 13:05:49]	,----- FRAME: 7822 time: 14.34ms Moving avg: 15.94ms 2617 frames since last 
[2022-04-03 13:05:51]	,UIManager_ProcessInput, 130.01 ms
[2022-04-03 13:05:51]	,            LuaContext::AdvancedSetup, 28.51 ms
[2022-04-03 13:05:51]	,        SerialEvent::FinishedGameplayContentConfigure, 28.65 ms
[2022-04-03 13:05:51]	,----- FRAME: 7916 time: 54.73ms Moving avg: 16.94ms 95 frames since last 
[2022-04-03 13:05:52]	,            UIManager_ProcessInput, 58.08 ms
[2022-04-03 13:05:52]	,----- FRAME: 7989 time: 13.02ms Moving avg: 14.32ms 74 frames since last 
[2022-04-03 13:05:52]	,UIManager_ProcessInput, 11.68 ms
[2022-04-03 13:05:52]	,----- FRAME: 8008 time: 6.37ms Moving avg: 12.43ms 20 frames since last 
[2022-04-03 13:05:52]	,    UIManager_ProcessInput, 28.59 ms
[2022-04-03 13:05:52]	,----- FRAME: 8010 time: 8.00ms Moving avg: 12.15ms 3 frames since last 
[2022-04-03 13:05:54]	,    UIManager_ProcessInput, 65.69 ms
[2022-04-03 13:05:54]	,UIManager_Update, 65.83 ms
[2022-04-03 13:05:54]	,UIUpdateJob_Update, 65.85 ms
